Id,Name,Type,Phase,Address,Status,Gender,Town,x,y
DebdenParkHighSchoolWillingaleRoad,Debden Park High School,Academy Converter,Secondary,Willingale Road,Open,Mixed,Epping Forest,0.0897773,51.6543999
DeerParkSchoolParkShot,Deer Park School,Free Schools,Primary,Park Shot,Open,Mixed,Richmond Upon Thames,-0.303033,51.4644012
DenhamGreenE-actAcademyNightingaleWay,Denham Green E-act Academy,Academy Sponsor Led,Primary,Nightingale Way,Open,Mixed,South Bucks,-0.50523,51.5835991
DenhamVillageInfantSchoolCheapsideLane,Denham Village Infant School,Community School,Primary,Cheapside Lane,Open,Mixed,South Bucks,-0.501694,51.5681992
DeptfordGreenSchoolEdwardStreet,Deptford Green School,Community School,Secondary,Edward Street,Open,Mixed,Lewisham,-0.0366008,51.4784012
DeptfordParkPrimarySchoolEvelynStreet,Deptford Park Primary School,Community School,Primary,Evelyn Street,Open,Mixed,Lewisham,-0.0378766,51.4882011
DersinghamPrimarySchoolDersinghamAvenue,Dersingham Primary School,Community School,Primary,Dersingham Avenue,Open,Mixed,Newham,0.0616827,51.5507011
DerwentwaterPrimarySchoolShakespeareRoad,Derwentwater Primary School,Community School,Primary,Shakespeare Road,Open,Mixed,Ealing,-0.269281,51.5102005
DevonshireHousePreparatorySchool2ArkwrightRoad,Devonshire House Preparatory School,Other Independent School,Not applicable,2 Arkwright Road,Open,Mixed,Camden,-0.177458,51.5535011
DevonshirePrimarySchoolDevonshireAvenue,Devonshire Primary School,Community School,Primary,Devonshire Avenue,Open,Mixed,Sutton,-0.189654,51.3543015
DewhurstStMaryCofePrimarySchoolChurchgate,Dewhurst St Mary Cofe Primary School,Voluntary Controlled School,Primary,Churchgate,Open,Mixed,Broxbourne,-0.0473841,51.7056999
DilkesAcademyGarronLane,Dilkes Academy,Academy Converter,Primary,Garron Lane,Open,Mixed,Thurrock,0.272976,51.5084991
DiscoveryPrimarySchoolBatteryRoad,Discovery Primary School,Community School,Primary,Battery Road,Open,Mixed,Greenwich,0.0946071,51.5003014
DldCollegeLondon199WestminsterBridgeRoad,Dld College London,Other Independent School,Not applicable,199 Westminster Bridge Road,Open,Mixed,Lambeth,-0.116125,51.5003014
DocklandsPre-preparatorySchoolUnit1,Docklands Pre-preparatory School,Other Independent School,Not applicable,Unit 1,Closed,Mixed,Tower Hamlets,-0.001601,51.5093994
DogKennelHillSchoolDogKennelHill,Dog Kennel Hill School,Community School,Primary,Dog Kennel Hill,Open,Mixed,Southwark,-0.0828818,51.4654007
DollisInfantSchoolPursleyRoad,Dollis Infant School,Community School,Primary,Pursley Road,Open,Mixed,Barnet,-0.224402,51.6085014
DollisJuniorSchoolPursleyRoad,Dollis Junior School,Foundation School,Primary,Pursley Road,Open,Mixed,Barnet,-0.224402,51.6085014
DolphinSchool(incorporatingNoahsArkNurserySchools)106NorthcoteRoad,Dolphin School (incorporating Noahs Ark Nursery Schools),Other Independent School,Not applicable,106 Northcote Road,Open,Mixed,Wandsworth,-0.166109,51.4571991
DonheadPreparatorySchool33EdgeHill,Donhead Preparatory School,Other Independent School,Not applicable,33 Edge Hill,Open,Boys,Merton,-0.222569,51.4180984
DonningtonPrimarySchoolUffingtonRoad,Donnington Primary School,Community School,Primary,Uffington Road,Open,Mixed,Brent,-0.233501,51.5418015
DorchesterPrimarySchoolDorchesterRoad,Dorchester Primary School,Community School,Primary,Dorchester Road,Open,Mixed,Sutton,-0.231589,51.3804016
DormersWellsHighSchoolDormersWellsLane,Dormers Wells High School,Community School,Secondary,Dormers Wells Lane,Open,Mixed,Ealing,-0.366938,51.5180016
DormersWellsInfantSchoolDormersWellsLane,Dormers Wells Infant School,Foundation School,Primary,Dormers Wells Lane,Open,Mixed,Ealing,-0.363058,51.5136986
DormersWellsJuniorSchoolDormersWellsLane,Dormers Wells Junior School,Foundation School,Primary,Dormers Wells Lane,Open,Mixed,Ealing,-0.363058,51.5136986
DorothyBarleyInfants'SchoolDavingtonRoad,Dorothy Barley Infants' School,Community School,Primary,Davington Road,Open,Mixed,Barking And Dagenham,0.115325,51.5469017
DorothyBarleyJuniorAcademyIvinghoeRoad,Dorothy Barley Junior Academy,Academy Sponsor Led,Primary,Ivinghoe Road,Open,Mixed,Barking And Dagenham,0.114917,51.5475006
DorsetRoadInfantSchoolDorsetRoad,Dorset Road Infant School,Community School,Primary,Dorset Road,Open,Mixed,Bromley,0.044214,51.4360008
DownderryPrimarySchoolDownderryRoad,Downderry Primary School,Community School,Primary,Downderry Road,Open,Mixed,Lewisham,3.637E-4,51.4281998
DowneManorPrimarySchoolDownWay,Downe Manor Primary School,Community School,Primary,Down Way,Open,Mixed,Ealing,-0.404162,51.5337982
DownePrimarySchoolHighElmsRoad,Downe Primary School,Community School,Primary,High Elms Road,Open,Mixed,Bromley,0.0564967,51.3372002
DownfieldPrimarySchoolDownfieldRoad,Downfield Primary School,Community School,Primary,Downfield Road,Open,Mixed,Broxbourne,-0.0288777,51.6986008
DownsWaySchoolDownsWay,Downs Way School,Community School,Primary,Downs Way,Open,Mixed,Tandridge,-0.0062775,51.2635994
DownsellPrimarySchoolDownsellRoad,Downsell Primary School,Community School,Primary,Downsell Road,Open,Mixed,Waltham Forest,0.0011696,51.5545998
DownsendPre-prepEpsom6NormanAvenue,Downsend Pre-prep Epsom,Other Independent School,Not applicable,6 Norman Avenue,Open,Mixed,Epsom And Ewell,-0.252833,51.335701
DownsendPre-prepLeatherhead13EpsomRoad,Downsend Pre-prep Leatherhead,Other Independent School,Not applicable,13 Epsom Road,Open,Mixed,Mole Valley,-0.320252,51.2983017
DownsendSchool1LeatherheadRoad,Downsend School,Other Independent School,Not applicable,1 Leatherhead Road,Open,Mixed,Mole Valley,-0.313367,51.2999001
DownsendSchoolPre-prepAshtead22OakfieldRoad,Downsend School Pre-prep Ashtead,Other Independent School,Not applicable,22 Oakfield Road,Open,Mixed,Mole Valley,-0.307905,51.3126984
DownshallPrimarySchoolMeadsLane,Downshall Primary School,Community School,Primary,Meads Lane,Open,Mixed,Redbridge,0.0963084,51.5705986
DownsviewCommunityPrimarySchoolBeechAvenue,Downsview Community Primary School,Community School,Primary,Beech Avenue,Open,Mixed,Sevenoaks,0.185006,51.3956985
DownsviewPrimaryAndNurserySchoolBigginWay,Downsview Primary And Nursery School,Community School,Primary,Biggin Way,Open,Mixed,Croydon,-0.10195,51.4152985
DrTriplett'sCofePrimarySchoolHemmenLane,Dr Triplett's Cofe Primary School,Voluntary Aided School,Primary,Hemmen Lane,Open,Mixed,Hillingdon,-0.41645,51.5178986
Drapers'AcademySettleRoad,Drapers' Academy,Academy Sponsor Led,Secondary,Settle Road,Open,Mixed,Havering,0.240021,51.6096001
Drapers'BrooksideJuniorSchoolDagnamParkDrive,Drapers' Brookside Junior School,Academy Sponsor Led,Primary,Dagnam Park Drive,Open,Mixed,Havering,0.223879,51.608799
Drapers'MaylandsPrimarySchoolSettleRoad,Drapers' Maylands Primary School,Free Schools,Primary,Settle Road,Open,Mixed,Havering,0.240944,51.6106987
DraytonGreenPrimarySchoolDraytonGrove,Drayton Green Primary School,Community School,Primary,Drayton Grove,Open,Mixed,Ealing,-0.324714,51.5150986
DraytonManorHighSchoolDraytonBridgeRoad,Drayton Manor High School,Academy Converter,Secondary,Drayton Bridge Road,Open,Mixed,Ealing,-0.335752,51.5158997
DraytonParkPrimarySchoolArvonRoad,Drayton Park Primary School,Community School,Primary,Arvon Road,Open,Mixed,Islington,-0.105745,51.5516014
DrewPrimarySchoolWythesRoad,Drew Primary School,Community School,Primary,Wythes Road,Open,Mixed,Newham,0.0471552,51.5028
DrumbeatSchoolAndAsdServiceRoundtableRoadAndRevelonRoad,Drumbeat School And Asd Service,Community Special School,Not applicable,Roundtable Road And Revelon Road,Open,Mixed,Lewisham,0.012155,51.4327011
DuffMillerCollege59Queen'sGate,Duff Miller College,Other Independent School,Not applicable,59 Queen's Gate,Open,Mixed,Kensington And Chelsea,-0.179707,51.4959984
DulvertonPrimarySchoolDulvertonRoad,Dulverton Primary School,Community School,Primary,Dulverton Road,Open,Mixed,Bexley,0.0804312,51.4364014
DulwichCollegeDulwichCommon,Dulwich College,Other Independent School,Not applicable,Dulwich Common,Open,Mixed,Southwark,-0.085056,51.4403
DulwichHamletJuniorSchoolDulwichVillage,Dulwich Hamlet Junior School,Academy Converter,Primary,Dulwich Village,Open,Mixed,Southwark,-0.0876613,51.4502983
DulwichPrepLondon42AlleynPark,Dulwich Prep London,Other Independent School,Not applicable,42 Alleyn Park,Open,Boys,Southwark,-0.0852382,51.4342003
DulwichVillageChurchOfEnglandInfants'SchoolDulwichVillage,Dulwich Village Church Of England Infants' School,Voluntary Aided School,Primary,Dulwich Village,Open,Mixed,Southwark,-0.0871,51.4515991
DulwichWoodPrimarySchoolBowenDrive,Dulwich Wood Primary School,Community School,Primary,Bowen Drive,Open,Mixed,Southwark,-0.0828877,51.4319
DuncombePrimarySchoolSussexWay,Duncombe Primary School,Community School,Primary,Sussex Way,Open,Mixed,Islington,-0.123676,51.5668983
DundonaldPrimarySchoolDundonaldRoad,Dundonald Primary School,Community School,Primary,Dundonald Road,Open,Mixed,Merton,-0.209858,51.4161987
DunravenSchool94-98LeighamCourtRoad,Dunraven School,Academy Converter,All Through,94-98 Leigham Court Road,Open,Mixed,Lambeth,-0.119463,51.4328995
DurandAcademyHackfordRoad,Durand Academy,Academy Converter,All Through,Hackford Road,Open,Mixed,Lambeth,-0.115944,51.4747009
DurantsSchool4PitfieldWay,Durants School,Community Special School,Not applicable,4 Pitfield Way,Open,Mixed,Enfield,-0.0468752,51.6633987
DurdansParkPrimarySchoolKingGeorge'sDrive,Durdans Park Primary School,Community School,Primary,King George's Drive,Open,Mixed,Ealing,-0.376129,51.5233994
DurstonHouseSchool12-14CastlebarRoad,Durston House School,Other Independent School,Not applicable,12-14 Castlebar Road,Open,Boys,Ealing,-0.306719,51.5168991
DwightSchoolLondon6FriernBarnetLane,Dwight School London,Other Independent School,Not applicable,6 Friern Barnet Lane,Open,Mixed,Barnet,-0.159437,51.6138992
DycortsSchoolSettleRoad,Dycorts School,Academy Special Sponsor Led,Not applicable,Settle Road,Open,Mixed,Havering,0.238212,51.6113014
DysartSchool190EwellRoad,Dysart School,Community Special School,Not applicable,190 Ewell Road,Closed,Mixed,Kingston Upon Thames,-0.297732,51.387001
EagleHavenSchoolArdleighHouse,Eagle Haven School,Other Independent Special School,Not applicable,Ardleigh House,Closed,Mixed,Havering,0.221665,51.5808983
EagleHouseSchool224LondonRoad,Eagle House School,Other Independent Special School,Not applicable,224 London Road,Open,Mixed,Merton,-0.164173,51.4077988
EagleHouseSchoolSutton95BrightonRoad,Eagle House School Sutton,Other Independent Special School,Not applicable,95 Brighton Road,Open,Mixed,Sutton,-0.191711,51.3526993
EaldhamPrimarySchoolEaldhamSquare,Ealdham Primary School,Community School,Primary,Ealdham Square,Open,Mixed,Greenwich,0.0355087,51.4574013
EalingCollegeUpperSchool83TheAvenue,Ealing College Upper School,Other Independent School,Not applicable,83 The Avenue,Closed,Mixed,Ealing,-0.319949,51.5172997
EalingIndependentCollege83NewBroadway,Ealing Independent College,Other Independent School,Not applicable,83 New Broadway,Open,Mixed,Ealing,-0.308207,51.5121002
EardleySchoolCunliffeStreet,Eardley School,Foundation School,Primary,Cunliffe Street,Open,Mixed,Wandsworth,-0.140544,51.4213982
Earl'sCourtFreeSchoolPrimaryCambridgeGrove,Earl's Court Free School Primary,Free Schools,Primary,Cambridge Grove,Open,Mixed,Hammersmith And Fulham,-0.23113,51.4954987
EarlhamPrimarySchoolEarlhamGrove,Earlham Primary School,Community School,Primary,Earlham Grove,Open,Mixed,Newham,0.017266,51.5470009
EarlsfieldPrimarySchoolTranmereRoad,Earlsfield Primary School,Community School,Primary,Tranmere Road,Open,Mixed,Wandsworth,-0.186148,51.4415016
EarlsmeadPrimarySchoolBroadLane,Earlsmead Primary School,Community School,Primary,Broad Lane,Open,Mixed,Haringey,-0.0685183,51.5838013
EastActonPrimarySchoolEastActonLane,East Acton Primary School,Community School,Primary,East Acton Lane,Open,Mixed,Ealing,-0.256279,51.5113983
EastBarnetSchoolChestnutGrove,East Barnet School,Academy Converter,Secondary,Chestnut Grove,Open,Mixed,Barnet,-0.154737,51.6436005
EastLondonChristianChoirSchool502KingslandRoad,East London Christian Choir School,Other Independent School,Not applicable,502 Kingsland Road,Closed,Mixed,Hackney,-0.075791,51.5432014
"EastLondonIndependentSpecialSchoolUnit7,IbexHouse",East London Independent Special School,Other Independent Special School,Not applicable,"Unit 7, Ibex House",Open,Mixed,Newham,0.0069892,51.5467987
EastLondonIslamicSchool59-66GreenfieldRoad,East London Islamic School,Other Independent School,Not applicable,59-66 Greenfield Road,Closed,Mixed,Tower Hamlets,-0.0650362,51.5155983
"EastLondonScienceSchoolTheClockMill,ThreeMillLane",East London Science School,Free Schools,Secondary,"The Clock Mill, Three Mill Lane",Open,Mixed,Newham,-0.0064315,51.5269012
EastSheenPrimarySchoolUpperRichmondRoadWest,East Sheen Primary School,Community School,Primary,Upper Richmond Road West,Open,Mixed,Richmond Upon Thames,-0.255438,51.4648018
EastWickhamPrimaryAcademyWickhamStreet,East Wickham Primary Academy,Academy Converter,Primary,Wickham Street,Open,Mixed,Bexley,0.102348,51.4690018
EastbrookSchoolDagenhamRoad,Eastbrook School,Community School,Secondary,Dagenham Road,Open,Mixed,Barking And Dagenham,0.163686,51.5514984
EastburyCommunitySchoolHulseAvenue,Eastbury Community School,Community School,All Through,Hulse Avenue,Open,Mixed,Barking And Dagenham,0.0902274,51.5424995
EastburyFarmPrimarySchoolBishopsAvenue,Eastbury Farm Primary School,Community School,Primary,Bishops Avenue,Open,Mixed,Three Rivers,-0.418536,51.6240997
EastburyPrimarySchoolDawsonAvenue,Eastbury Primary School,Community School,Primary,Dawson Avenue,Closed,Mixed,Barking And Dagenham,0.101112,51.5363998
EastcotePrimarySchoolEastcoteRoad,Eastcote Primary School,Community School,Primary,Eastcote Road,Closed,Mixed,Bexley,0.0835056,51.4637985
EastcourtIndependentSchool1EastwoodRoad,Eastcourt Independent School,Other Independent School,Not applicable,1 Eastwood Road,Open,Mixed,Redbridge,0.109235,51.5671005
EastfieldPrimarySchoolEastfieldRoad,Eastfield Primary School,Community School,Primary,Eastfield Road,Open,Mixed,Enfield,-0.039122,51.6657982
EastleaCommunitySchoolPretoriaRoad,Eastlea Community School,Community School,Secondary,Pretoria Road,Open,Mixed,Newham,0.0085361,51.5227013
EatonHouseSchool3-5EatonGate,Eaton House School,Other Independent School,Not applicable,3-5 Eaton Gate,Open,Boys,Westminster,-0.154942,51.4942017
"EatonHouseTheManorSchoolTheManor,58ClaphamCommon",Eaton House The Manor School,Other Independent School,Not applicable,"The Manor, 58 Clapham Common",Open,Mixed,Wandsworth,-0.151071,51.4617004
EatonHouseTheValeSchool2ElvastonPlace,Eaton House The Vale School,Other Independent School,Not applicable,2 Elvaston Place,Open,Mixed,Kensington And Chelsea,-0.182999,51.4980011
EatonSquareSchool79EcclestonSquare,Eaton Square School,Other Independent School,Not applicable,79 Eccleston Square,Open,Mixed,Westminster,-0.142596,51.4928017
EbrahimAcademy77GreenfieldRoad,Ebrahim Academy,Other Independent School,Not applicable,77 Greenfield Road,Open,Boys,Tower Hamlets,-0.0651596,51.5163994
EcclesbournePrimarySchoolAttleeClose,Ecclesbourne Primary School,Academy Converter,Primary,Attlee Close,Open,Mixed,Croydon,-0.102257,51.3918991
EcoleDuParc64GarfieldRoad,Ecole Du Parc,Other Independent School,Not applicable,64 Garfield Road,Open,Mixed,Wandsworth,-0.152081,51.4651985
EcoleFrançaiseDeLondresJacquesPrévert59BrookGreen,Ecole Française De Londres Jacques Prévert,Other Independent School,Not applicable,59 Brook Green,Open,Mixed,Hammersmith And Fulham,-0.21786,51.4958992
EcoleJeannineManuel43-45BedfordSquare,Ecole Jeannine Manuel,Other Independent School,Not applicable,43-45 Bedford Square,Open,Mixed,Camden,-0.129884,51.5182991
EdenGirls'SchoolWalthamForestSilverBirchHouse,Eden Girls' School Waltham Forest,Free Schools,Secondary,Silver Birch House,Open,Girls,Waltham Forest,-0.0425897,51.5940018
EdenPrimary79CreightonAvenue,Eden Primary,Free Schools,Primary,79 Creighton Avenue,Open,Mixed,Haringey,-0.152226,51.5951996
EdenhamHighSchoolOrchardWay,Edenham High School,Academy Sponsor Led,Secondary,Orchard Way,Open,Mixed,Croydon,-0.0387486,51.3835983
EdgeGroveSchoolHighCross,Edge Grove School,Other Independent School,Not applicable,High Cross,Open,Mixed,Hertsmere,-0.346119,51.6772003
EdgeburyPrimarySchoolBelmontLane,Edgebury Primary School,Community School,Primary,Belmont Lane,Open,Mixed,Bromley,0.0721286,51.4255981
EdgwareJewishGirls-BeisChinuch296HaleLane,Edgware Jewish Girls - Beis Chinuch,Other Independent School,Not applicable,296 Hale Lane,Open,Girls,Barnet,-0.275152,51.6165009
EdgwareJewishPrimarySchoolHammondClose,Edgware Jewish Primary School,Other Independent School,Not applicable,Hammond Close,Closed,Mixed,Barnet,-0.201936,51.6451988
EdgwarePrimarySchoolHemingRoad,Edgware Primary School,Community School,Primary,Heming Road,Open,Mixed,Barnet,-0.275321,51.6100998
EdinburghPrimarySchoolQueen'sRoad,Edinburgh Primary School,Community School,Primary,Queen's Road,Open,Mixed,Waltham Forest,-0.0245796,51.5778999
EdithNevillePrimarySchool174OssulstonStreet,Edith Neville Primary School,Community School,Primary,174 Ossulston Street,Open,Mixed,Camden,-0.131151,51.5327988
EdmontonCountySchoolGreatCambridgeRoad,Edmonton County School,Community School,All Through,Great Cambridge Road,Open,Mixed,Enfield,-0.0675906,51.6352997
EdmundWallerPrimarySchoolWallerRoad,Edmund Waller Primary School,Community School,Primary,Waller Road,Open,Mixed,Lewisham,-0.0486327,51.4707985
EducareSmallSchool12CowleazeRoad,Educare Small School,Other Independent School,Not applicable,12 Cowleaze Road,Open,Mixed,Kingston Upon Thames,-0.29934,51.4141998
EducationAndYouthServicesLtdBascoHouse,Education And Youth Services Ltd,Other Independent Special School,Not applicable,Basco House,Closed,Mixed,Bromley,0.0169759,51.406601
"EducationAndYouthServicesLtd(croydon,Surrey)92ParkLane","Education And Youth Services Ltd (croydon, Surrey)",Other Independent Special School,Not applicable,92 Park Lane,Closed,Mixed,Croydon,-0.0975127,51.3711014
EducationLinks195VicarageLane,Education Links,Other Independent Special School,Not applicable,195 Vicarage Lane,Closed,Mixed,Newham,0.009581,51.5376015
EducationalExcellenceAndWellbeing112-114HighStreet,Educational Excellence And Wellbeing,Other Independent School,Not applicable,112 - 114 High Street,Open,Mixed,Croydon,-0.100438,51.3698997
EdwardBethamChurchOfEnglandPrimarySchoolOldfieldLaneSouth,Edward Betham Church Of England Primary School,Voluntary Aided School,Primary,Oldfield Lane South,Open,Mixed,Ealing,-0.350784,51.5339012
EdwardPaulingPrimarySchoolRedfordClose,Edward Pauling Primary School,Community School,Primary,Redford Close,Open,Mixed,Hounslow,-0.426586,51.4436989
EdwardWilsonPrimarySchoolSeniorStreet,Edward Wilson Primary School,Community School,Primary,Senior Street,Open,Mixed,Westminster,-0.189563,51.5214005
EglintonPrimarySchoolPagetRise,Eglinton Primary School,Community School,Primary,Paget Rise,Open,Mixed,Greenwich,0.0644837,51.4784012
EldonPrimarySchoolEldonRoad,Eldon Primary School,Community School,Primary,Eldon Road,Open,Mixed,Enfield,-0.0500315,51.6306
EleanorPalmerPrimarySchoolLuptonStreet,Eleanor Palmer Primary School,Community School,Primary,Lupton Street,Open,Mixed,Camden,-0.139025,51.5545998
ElfridaPrimarySchoolElfridaCrescent,Elfrida Primary School,Community School,Primary,Elfrida Crescent,Open,Mixed,Lewisham,-0.0236289,51.4289017
EliotBankPrimarySchoolThorpewoodAvenue,Eliot Bank Primary School,Community School,Primary,Thorpewood Avenue,Open,Mixed,Lewisham,-0.0618517,51.4370995
ElizabethGarrettAndersonSchoolDonegalStreet,Elizabeth Garrett Anderson School,Community School,Secondary,Donegal Street,Open,Girls,Islington,-0.112659,51.5330009
ElizabethSelbyInfants'SchoolOldBethnalGreenRoad,Elizabeth Selby Infants' School,Community School,Primary,Old Bethnal Green Road,Open,Mixed,Tower Hamlets,-0.063541,51.5284004
EllenWilkinsonPrimarySchoolTollgateRoad,Ellen Wilkinson Primary School,Community School,Primary,Tollgate Road,Open,Mixed,Newham,0.0453427,51.5159988
EllernMedeSchoolHolcombeHill,Ellern Mede School,Other Independent School,Not applicable,Holcombe Hill,Open,Mixed,Barnet,-0.236974,51.6242981
EllinghamPrimarySchoolEllinghamRoad,Ellingham Primary School,Community School,Primary,Ellingham Road,Open,Mixed,Kingston Upon Thames,-0.309698,51.3578987
ElmParkPrimarySchoolSouthendRoad,Elm Park Primary School,Community School,Primary,Southend Road,Open,Mixed,Havering,0.203542,51.5497017
ElmWoodSchoolCarnacStreet,Elm Wood School,Community School,Primary,Carnac Street,Open,Mixed,Lambeth,-0.0919908,51.4319992
ElmgrovePrimarySchool&NurseryKenmoreAvenue,Elmgrove Primary School & Nursery,Community School,Primary,Kenmore Avenue,Open,Mixed,Harrow,-0.32309,51.5890999
ElmhurstPrimarySchoolUptonParkRoad,Elmhurst Primary School,Community School,Primary,Upton Park Road,Open,Mixed,Newham,0.0285094,51.5400009
ElmhurstSchool44-48SouthParkHillRoad,Elmhurst School,Other Independent School,Not applicable,44-48 South Park Hill Road,Open,Boys,Croydon,-0.0925292,51.3628006
ElmwoodInfantSchoolLodgeRoad,Elmwood Infant School,Community School,Primary,Lodge Road,Open,Mixed,Croydon,-0.105885,51.3862
ElmwoodJuniorSchoolLodgeRoad,Elmwood Junior School,Community School,Primary,Lodge Road,Open,Mixed,Croydon,-0.105885,51.3862
ElsleyPrimarySchoolTokyngtonAvenue,Elsley Primary School,Community School,Primary,Tokyngton Avenue,Open,Mixed,Brent,-0.286899,51.5488014
ElthamChurchOfEnglandPrimarySchoolRoperStreet,Eltham Church Of England Primary School,Voluntary Aided School,Primary,Roper Street,Open,Mixed,Greenwich,0.0564409,51.4516983
ElthamCollegeGroveParkRoad,Eltham College,Other Independent School,Not applicable,Grove Park Road,Open,Boys,Bromley,0.0386319,51.4379997
ElthamHillSchoolElthamHill,Eltham Hill School,Community School,Secondary,Eltham Hill,Open,Girls,Greenwich,0.0457715,51.450901
ElthorneParkHighSchoolWestleaRoad,Elthorne Park High School,Community School,Secondary,Westlea Road,Open,Mixed,Ealing,-0.329633,51.5
ElutecYewTreeAvenue,Elutec,University Technical College,Secondary,Yew Tree Avenue,Open,Mixed,Barking And Dagenham,0.17066,51.5471001
EmanuelSchoolBatterseaRise,Emanuel School,Other Independent School,Not applicable,Battersea Rise,Open,Mixed,Wandsworth,-0.17289,51.4564018
EmberhurstSchool94EmberLane,Emberhurst School,Other Independent School,Not applicable,94 Ember Lane,Closed,Mixed,Elmbridge,-0.350397,51.3869019
EmersonParkAcademyWychElmRoad,Emerson Park Academy,Academy Converter,Secondary,Wych Elm Road,Open,Mixed,Havering,0.243147,51.5695
EmmanuelChurchOfEnglandPrimarySchool152-158MillLane,Emmanuel Church Of England Primary School,Voluntary Aided School,Primary,152-158 Mill Lane,Open,Mixed,Camden,-0.193657,51.5523987
EmmanuelCommunitySchoolTheDrive,Emmanuel Community School,Free Schools,Primary,The Drive,Open,Mixed,Waltham Forest,-0.0141553,51.5875015
EnfieldCountySchoolHollyWalk,Enfield County School,Community School,Secondary,Holly Walk,Open,Girls,Enfield,-0.0837288,51.6542015
EnfieldGrammarSchoolMarketPlace,Enfield Grammar School,Academy Converter,Secondary,Market Place,Open,Boys,Enfield,-0.0832018,51.6529999
EnfieldHeightsAcademyPitfieldWay,Enfield Heights Academy,Free Schools,Primary,Pitfield Way,Open,Mixed,Enfield,-0.0464446,51.6636009
EngaynePrimarySchoolSevernDrive,Engayne Primary School,Community School,Primary,Severn Drive,Open,Mixed,Havering,0.265492,51.5704994
EnglishMartyrsRomanCatholicPrimarySchoolFlintStreet,English Martyrs Roman Catholic Primary School,Voluntary Aided School,Primary,Flint Street,Open,Mixed,Southwark,-0.087773,51.4902992
EpicLearningGolborneYouthAndCommunityCentre,Epic Learning,Other Independent School,Not applicable,Golborne Youth And Community Centre,Open,Mixed,Kensington And Chelsea,-0.204958,51.5209999
EpsomAndEwellHighSchoolRuxleyLane,Epsom And Ewell High School,Academy Converter,Secondary,Ruxley Lane,Open,Mixed,Epsom And Ewell,-0.273942,51.3630981
EpsomCollegeCollegeRoad,Epsom College,Other Independent School,Not applicable,College Road,Open,Mixed,Epsom And Ewell,-0.24494,51.3274002
EpsomDownsPrimarySchoolAndChildren'sCentreStLeonard'sRoad,Epsom Downs Primary School And Children's Centre,Community School,Primary,St Leonard's Road,Open,Mixed,Reigate And Banstead,-0.233106,51.3055
EpsomPrimaryAndNurserySchoolPoundLane,Epsom Primary And Nursery School,Community School,Primary,Pound Lane,Open,Mixed,Epsom And Ewell,-0.268985,51.3409996
Eq-iqSchoolHusainiCentre,Eq-iq School,Other Independent School,Not applicable,Husaini Centre,Closed,Mixed,Harrow,-0.316777,51.6267014
ErithSecondarySchoolAvenueRoad,Erith Secondary School,Academy Converter,Secondary,Avenue Road,Open,Mixed,Bexley,0.166149,51.4742012
ErnestBevinCollegeBeechcroftRoad,Ernest Bevin College,Community School,Secondary,Beechcroft Road,Open,Boys,Wandsworth,-0.168044,51.4375992
EsherChurchOfEnglandHighSchoolMoreLane,Esher Church Of England High School,Academy Converter,Secondary,More Lane,Open,Mixed,Elmbridge,-0.371116,51.3753014
EsherChurchSchoolMilbourneLane,Esher Church School,Academy Converter,Primary,Milbourne Lane,Open,Mixed,Elmbridge,-0.361197,51.3650017
EssendeneLodgeSchoolEssendeneRoad,Essendene Lodge School,Other Independent School,Not applicable,Essendene Road,Open,Mixed,Tandridge,-0.0878971,51.2879982
EssendinePrimarySchoolEssendineRoad,Essendine Primary School,Community School,Primary,Essendine Road,Open,Mixed,Westminster,-0.194979,51.5280991
EssexPrimarySchoolSheridanRoad,Essex Primary School,Community School,Primary,Sheridan Road,Open,Mixed,Newham,0.0540857,51.546299
EtzChaimJewishPrimarySchool20DawsLane,Etz Chaim Jewish Primary School,Free Schools,Primary,20 Daws Lane,Open,Mixed,Barnet,-0.238965,51.6142998
EuropeanCollegeForHigherEducation69LawrenceRoad,European College For Higher Education,Other Independent School,Not applicable,69 Lawrence Road,Closed,Boys,Haringey,-0.0798334,51.5866013
EvelineDaySchoolSwanHouse,Eveline Day School,Other Independent School,Not applicable,Swan House,Open,Mixed,Wandsworth,-0.154838,51.4403992
EversleyPrimarySchoolChasevilleParkRoad,Eversley Primary School,Community School,Primary,Chaseville Park Road,Open,Mixed,Enfield,-0.114045,51.6433983
EwellCastleSchoolChurchStreet,Ewell Castle School,Other Independent School,Not applicable,Church Street,Open,Mixed,Epsom And Ewell,-0.246938,51.3506012
EwellGroveInfantAndNurserySchoolWestStreet,Ewell Grove Infant And Nursery School,Community School,Primary,West Street,Open,Mixed,Epsom And Ewell,-0.250475,51.3483009
ExcelPreparatorySchool230-234BrixtonRoad,Excel Preparatory School,Other Independent School,Not applicable,230-234 Brixton Road,Closed,Mixed,Lambeth,-0.113057,51.4716988
ExcellenceChristianSchool59-61VynerStreet,Excellence Christian School,Other Independent School,Not applicable,59-61 Vyner Street,Open,Mixed,Tower Hamlets,-0.0548304,51.5345993
ExcelsiorCollegeSelbyCentre,Excelsior College,Other Independent School,Not applicable,Selby Centre,Open,Mixed,Haringey,-0.0777397,51.6058006
FaceYouthTherapeuticSchoolJohnInnesYouthCentre,Face Youth Therapeutic School,Other Independent Special School,Not applicable,John Innes Youth Centre,Open,Mixed,Merton,-0.195976,51.4155998
