,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,reumatologia,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
2375,CS15658,Consulta de otros profesionales sanitarios,,,,,,,,,CS15658,,,,,,,,,,,,,,Calle Cordel de Valladolid 6 28400 Collado Villalba,Calle,Cordel de Valladolid,6,28400.0,Collado Villalba,414177.0,4498772.0
2376,CS15663,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS15663,,,,,,,,,,CS15663,,,,Paseo de la Habana 87 28036 Madrid,Paseo,de la Habana,87,28036.0,Madrid,442181.0,4478734.0
2377,CS15665,Centro Polivalente,,,,,,,CS15665,,CS15665,,,,,,,CS15665,,,,,,,Calle Cidacos 6 28002 Madrid,Calle,Cidacos,6,28002.0,Madrid,442105.0,4478060.0
2378,CS15667,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15667,,,,,,,,,,,,,Calle Francisco Rabal 7 28806 Alcalá de Henares,Calle,Francisco Rabal,7,28806.0,Alcalá de Henares,465300.0,4481386.0
2379,CS15668,Consulta de otros profesionales sanitarios,,,,,,,,,CS15668,,,,,,,,,,,,,,Calle de Ayala 38 28001 Madrid,Calle,de Ayala,38,28001.0,Madrid,441942.0,4475449.0
2380,CS15670,Consulta de otros profesionales sanitarios,,,,,,,,,CS15670,,,,,,,,,,,,,,"Avda Constitución 18 28231 Rozas de Madrid, Las",Avda,Constitución,18,28231.0,"Rozas de Madrid, Las",425811.0,4482739.0
2381,CS15671,Centro Polivalente,,,,,,,,,CS15671,,,,,,,,,,,,,,Calle Francia 2 28224 Pozuelo de Alarcón,Calle,Francia,2,28224.0,Pozuelo de Alarcón,431457.0,4476059.0
2382,CS15675,Consulta de otros profesionales sanitarios,,,,,,,,,CS15675,,,,,,,,,,,,,,Calle de la Coalición 27 28041 Madrid,Calle,de la Coalición,27,28041.0,Madrid,441597.0,4467621.0
2383,CS15679,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15679,,,,,,,,,,,,,,Calle Sevilla S/N 28223 Pozuelo de Alarcón,Calle,Sevilla,S/N,28223.0,Pozuelo de Alarcón,,
2384,CS15680,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15680,,,CS15680,,,,,,,,,,,,,Avda de la Astronomía 24 28830 San Fernando de Henares,Avda,de la Astronomía,24,28830.0,San Fernando de Henares,457780.0,4477598.0
2385,CS15682,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15682,,,,,,,,,,,,,,Plaza de la Lealtad 4 28014 Madrid,Plaza,de la Lealtad,4,28014.0,Madrid,441264.0,4474139.0
2386,CS15685,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,CS15685,,,,,,Calle de Alcalá 153 28009 Madrid,Calle,de Alcalá,153,28009.0,Madrid,442740.0,4475182.0
2387,CS15688,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15688,,,,,,,,,,,,,Calle de Agustín Calvo 15 28043 Madrid,Calle,de Agustín Calvo,15,28043.0,Madrid,444820.0,4479470.0
2388,CS15689,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15689,,,,,,,,,,,,,Cmno Navalafuente 4 28791 Soto del Real,Cmno,Navalafuente,4,28791.0,Soto del Real,433969.0,4512234.0
2389,CS15691,Centro de reconocimiento,,,,,,,,,,CS15691,,,,,,,,,,,,,Calle de Viriato 29 28010 Madrid,Calle,de Viriato,29,28010.0,Madrid,440527.0,4476386.0
2390,CS15694,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15694,,CS15694,CS15694,,,,,,,,,,,,,Calle de Gabriel Montero 1 28017 Madrid,Calle,de Gabriel Montero,1,28017.0,Madrid,446467.0,4475085.0
2391,CS15696,Otros centros especializados,,,,,,,,,,CS15696,,,,,,,,,,,,,Paseo de Yeserías 9 28005 Madrid,Paseo,de Yeserías,9,28005.0,Madrid,439586.0,4472428.0
2392,CS15697,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15697,,,,,,,,,,,,,Calle Mayor 53 28810 Villalbilla,Calle,Mayor,53,28810.0,Villalbilla,470090.0,4477091.0
2393,CS15698,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15698,,CS15698,CS15698,,,,,,,,,,,,,Calle Villa Elena 21 28942 Fuenlabrada,Calle,Villa Elena,21,28942.0,Fuenlabrada,430913.0,4460106.0
2394,CS1570,Centro de reconocimiento,,,,,,,,,,CS1570,,,,,,,CS1570,,,,,,Avda de Rafaela Ybarra 38 28026 Madrid,Avda,de Rafaela Ybarra,38,28026.0,Madrid,439606.0,4470221.0
2395,CS15701,Consulta de otros profesionales sanitarios,,,,,,,,,CS15701,,,,,,,,,,,,,,Calle de la Libertad 18 28936 Móstoles,Calle,de la Libertad,18,28936.0,Móstoles,427362.0,4464545.0
2396,CS15704,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15704,,,,,,,,,,,,,Calle Hierro 0 28890 Loeches,Calle,Hierro,0,28890.0,Loeches,465276.0,4472503.0
2397,CS15707,Consulta de otros profesionales sanitarios,,,,,,,,,CS15707,,,,,,,,,,,,,,Calle de Rodríguez San Pedro 34 28015 Madrid,Calle,de Rodríguez San Pedro,34,28015.0,Madrid,439671.0,4475930.0
2398,CS15711,Otros proveedores de asistencia sanitaria sin internamiento,,,,,CS15711,,,,,,,,,,,,,,,,,,Calle de las Naciones 15 28006 Madrid,Calle,de las Naciones,15,28006.0,Madrid,442900.0,4475342.0
2399,CS15715,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15715,,,CS15715,,,,,,,,,,,,,Calle de Alcalá 7 28014 Madrid,Calle,de Alcalá,7,28014.0,Madrid,440503.0,4474333.0
2400,CS15717,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15717,,,,,,,,,,,,,,Paseo de la Chopera 10 28045 Madrid,Paseo,de la Chopera,10,28045.0,Madrid,440702.0,4471640.0
2401,CS15718,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15718,,,,,,,,,,,,,,Calle del Mar de las Antillas 10 28033 Madrid,Calle,del Mar de las Antillas,10,28033.0,Madrid,445194.0,4480752.0
2402,CS15719,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15719,,,,,,,,,,,,,,Calle de José Ortuño Ponce 3 28021 Madrid,Calle,de José Ortuño Ponce,3,28021.0,Madrid,440097.0,4466380.0
2403,CS15723,Centro Polivalente,,,,,,,CS15723,,,,,,,,,,,,,,,,Plaza España 17 28911 Leganés,Plaza,España,17,28911.0,Leganés,435011.0,4464470.0
2404,CS15725,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15725,,CS15725,CS15725,,,,,,,,,,,,,Calle de la Esfinge 35 28022 Madrid,Calle,de la Esfinge,35,28022.0,Madrid,448338.0,4477167.0
2405,CS15726,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15726,,,,,,,,,,,,,,,,Calle de Melquíades Álvarez 8 28003 Madrid,Calle,de Melquíades Álvarez,8,28003.0,Madrid,439618.0,4476960.0
2406,CS15727,Consulta de otros profesionales sanitarios,,,,,,,,,CS15727,,,,,,,,,,,,,,Paseo de la Tierra de Melide 15 28050 Madrid,Paseo,de la Tierra de Melide,15,28050.0,Madrid,443673.0,4484256.0
2407,CS15729,Consulta de otros profesionales sanitarios,,,,,,,,,CS15729,,,,,,,,,,,,,,Calle de Cristóbal Bordiú 15 28003 Madrid,Calle,de Cristóbal Bordiú,15,28003.0,Madrid,440556.0,4477188.0
2408,CS15730,Otros centros especializados,,,,CS15730,CS15730,,CS15730,,,CS15730,,,,,,,,,,,,,Calle de Joaquín Costa 26 28002 Madrid,Calle,de Joaquín Costa,26,28002.0,Madrid,441979.0,4477201.0
2409,CS15732,Centro Polivalente,,,,,,,,,,CS15732,,,,,,,,,,,,,Calle de Alcobendas 27 28914 Leganés,Calle,de Alcobendas,27,28914.0,Leganés,433301.0,4462844.0
2410,CS15734,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS15734,,,,,,,,,,,,,,Calle de Santibáñez de Béjar 1 28042 Madrid,Calle,de Santibáñez de Béjar,1,28042.0,Madrid,448351.0,4478037.0
2411,CS15735,Centro Polivalente,,,CS15735,CS15735,,,CS15735,,,,,,,,,,,,,,,,Calle de Zurbano 70 28010 Madrid,Calle,de Zurbano,70,28010.0,Madrid,441231.0,4476403.0
2412,CS15736,Otros centros especializados,,,,,,,,,,,,,,,,,,CS15736,,,,,Calle de Thader 12 28025 Madrid,Calle,de Thader,12,28025.0,Madrid,436883.0,4469558.0
2413,CS15737,Consulta de otros profesionales sanitarios,,,,,,,,,CS15737,,,,,,,,,,,,,,Calle de Luis Moya Blanco 44 28055 Madrid,Calle,de Luis Moya Blanco,44,28055.0,Madrid,447819.0,4483064.0
2414,CS15738,Otros proveedores de asistencia sanitaria sin internamiento,,,,CS15738,,,CS15738,,CS15738,,,,,,,,,,,,,,Calle de Velázquez 109 28006 Madrid,Calle,de Velázquez,109,28006.0,Madrid,442036.0,4476412.0
2415,CS15739,Consultorio de atención primaria,,,,,,,CS15739,,,CS15739,,,,,,,,,,,,,Calle Manzano 6 28194 Berzosa del Lozoya,Calle,Manzano,6,28194.0,Berzosa del Lozoya,455868.0,4536118.0
2416,CS15740,Consultorio de atención primaria,,,,,,,CS15740,,,CS15740,,,,,,,,,,,,CS15740,Calle del Real 58 28214 Fresnedillas de la Oliva,Calle,del Real,58,28214.0,Fresnedillas de la Oliva,400793.0,4482514.0
2417,CS15741,Centro de salud,,,,,,,CS15741,,,CS15741,,,,,,CS15741,,,,,,CS15741,Calle de Castelló 63 28001 Madrid,Calle,de Castelló,63,28001.0,Madrid,442202.0,4475556.0
2418,CS15742,Consultorio de atención primaria,,,,,,,CS15742,,,CS15742,,,,,,,,,,,,CS15742,Calle Practicante Olmeda 3 28297 Santa María de la Alameda,Calle,Practicante Olmeda,3,28297.0,Santa María de la Alameda,397912.0,4492494.0
2419,CS15744,Centro Polivalente,,,,,,,CS15744,,CS15744,,,,,,,,,,,,,,Calle de Segovia 69 28005 Madrid,Calle,de Segovia,69,28005.0,Madrid,438936.0,4473919.0
2420,CS15746,Centro Polivalente,,,,,,,CS15746,,,,,,,,,,,CS15746,,,,,Plaza Rodríguez Marín 4 28801 Alcalá de Henares,Plaza,Rodríguez Marín,4,28801.0,Alcalá de Henares,469123.0,4481259.0
2421,CS15748,Consulta de otros profesionales sanitarios,,,,,,,,,CS15748,,,,,,,,,,,,,,Calle del Querol 7 28033 Madrid,Calle,del Querol,7,28033.0,Madrid,443708.0,4481273.0
2422,CS1575,Otros centros especializados,,,,,,,CS1575,,CS1575,CS1575,,,,,,,,,,,,,Paseo del Prado 16 28014 Madrid,Paseo,del Prado,16,28014.0,Madrid,441100.0,4473956.0
2423,CS15750,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,CS15750,,,,,,,,,,,,,Plaza Antonio de Cabezón 1 28706 San Sebastián de los Reyes,Plaza,Antonio de Cabezón,1,28706.0,San Sebastián de los Reyes,450677.0,4495630.0
2424,CS15751,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15751,,,CS15751,,,,,,,,,,,,,Avda Reyes Magos 27 28810 Villalbilla,Avda,Reyes Magos,27,28810.0,Villalbilla,474007.0,4475677.0
2425,CS15752,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15752,,,CS15752,,,,,,,CS15752,CS15752,,,,CS15752,Avda Principal 6 28011 Madrid,Avda,Principal,6,28011.0,Madrid,437197.0,4473909.0
2426,CS15756,Consulta de otros profesionales sanitarios,,,,,,,,,CS15756,,,,,,,,,,,,,,Calle de Goya 77 28001 Madrid,Calle,de Goya,77,28001.0,Madrid,442451.0,4475163.0
2427,CS15758,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15758,,CS15758,CS15758,,,,,,,,,,,,,Avda de Moratalaz 134 28030 Madrid,Avda,de Moratalaz,134,28030.0,Madrid,445108.0,4473106.0
2428,CS15759,Consulta médica,,,,,,,,,,CS15759,,CS15759,,,,,,,,,,,Calle de José Ortega y Gasset 65 28006 Madrid,Calle,de José Ortega y Gasset,65,28006.0,Madrid,442822.0,4475708.0
2429,CS1576,Consulta de otros profesionales sanitarios,,,,,,,,,CS1576,,,,,,,,,,,,,,Calle de Dulcinea 7 28922 Alcorcón,Calle,de Dulcinea,7,28922.0,Alcorcón,429583.0,4465950.0
2430,CS15762,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,CS15762,,,,,,Calle de Víctor Andrés Belaúnde 6 28016 Madrid,Calle,de Víctor Andrés Belaúnde,6,28016.0,Madrid,442426.0,4478450.0
2431,CS15763,Consulta de otros profesionales sanitarios,,,,,,,,,CS15763,,,,,,,,,,,,,,Calle Parque de Monfragüe 3 28924 Alcorcón,Calle,Parque de Monfragüe,3,28924.0,Alcorcón,430983.0,4466464.0
2432,CS15764,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15764,,,,,,,,,,,,,,,,Paseo de la Castellana 272 28046 Madrid,Paseo,de la Castellana,272,28046.0,Madrid,441799.0,4480570.0
2433,CS15772,Centro de salud mental,,,,,,,CS15772,,,CS15772,,,,,,,,CS15772,,,,,Calle de José Abascal 32 28003 Madrid,Calle,de José Abascal,32,28003.0,Madrid,440963.0,4476620.0
2434,CS15774,Consulta de otros profesionales sanitarios,,,,,,,,,CS15774,,,,,,,,,,,,,,Calle de Lanuza 3 28028 Madrid,Calle,de Lanuza,3,28028.0,Madrid,443549.0,4475233.0
2435,CS15775,Consulta de otros profesionales sanitarios,,,,,,,,,CS15775,,,,,,,,,,,,,,Calle Luna 11 28691 Villanueva de la Cañada,Calle,Luna,11,28691.0,Villanueva de la Cañada,414777.0,4477535.0
2436,CS15776,Centro de reconocimiento,,,,,,,,,,CS15776,,,,,,,,,,,,,Trva Eras 7 28670 Villaviciosa de Odón,Trva,Eras,7,28670.0,Villaviciosa de Odón,423383.0,4467536.0
2437,CS15777,Centro Polivalente,,,,,CS15777,,CS15777,,,CS15777,,CS15777,,,,,,,,,,,Trva Eras 7 28670 Villaviciosa de Odón,Trva,Eras,7,28670.0,Villaviciosa de Odón,423383.0,4467536.0
2438,CS15781,Consulta de otros profesionales sanitarios,,,,,,,,,CS15781,,,,,,,,,,,,,,Calle de Velázquez 46 Escalera C 28001 Madrid,Calle,de Velázquez,46 Escalera C,28001.0,Madrid,,
2439,CS15783,Otros centros especializados,,,,,,,,,,,,,,,,,,CS15783,,,,,Calle de Alcalá 165 28009 Madrid,Calle,de Alcalá,165,28009.0,Madrid,442903.0,4475278.0
2440,CS15784,Centro Polivalente,,,,,,,,,,CS15784,,,,,,,,CS15784,,,,,Calle de Alcalá 204 28028 Madrid,Calle,de Alcalá,204,28028.0,Madrid,443735.0,4475755.0
2441,CS15786,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15786,,,,,,,,,,,,,,,,Calle de Juan Esplandiu 11 28007 Madrid,Calle,de Juan Esplandiu,11,28007.0,Madrid,443634.0,4474409.0
2442,CS15790,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS15790,,CS15790,CS15790,,,,,,,,,,,,,Calle de Jorge Manrique 8 28660 Boadilla del Monte,Calle,de Jorge Manrique,8,28660.0,Boadilla del Monte,423676.0,4472662.0
2443,CS15791,Centro Polivalente,,,,,,,,,CS15791,,,,,,,,,,,,,,Calle Virgen del Espino 1 28814 Daganzo de Arriba,Calle,Virgen del Espino,1,28814.0,Daganzo de Arriba,461221.0,4488104.0
2444,CS15793,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15793,,CS15793,,,,,,,,,,,,,,"Calle Solana Blanca 4 28231 Rozas de Madrid, Las",Calle,Solana Blanca,4,28231.0,"Rozas de Madrid, Las",426038.0,4482792.0
2445,CS15796,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15796,,,,,,,,,,,,,,,,Avda del General Perón 38 28020 Madrid,Avda,del General Perón,38,28020.0,Madrid,441294.0,4478144.0
2446,CS15797,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15797,,,,,,,,,,,,,,Avda de la Felicidad 26 28041 Madrid,Avda,de la Felicidad,26,28041.0,Madrid,441545.0,4467805.0
2447,CS15798,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS15798,CS15798,,,,,,,,,,,,,Calle Carolina Coronado 16 28982 Parla,Calle,Carolina Coronado,16,28982.0,Parla,434647.0,4454344.0
2448,CS15799,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15799,,,CS15799,,,,,,,,,,,,,Paseo de la Castellana 278 28046 Madrid,Paseo,de la Castellana,278,28046.0,Madrid,441842.0,4480776.0
2449,CS15801,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS15801,,,,,,,,,,,,,,,,Calle de Andrés Obispo 37 28043 Madrid,Calle,de Andrés Obispo,37,28043.0,Madrid,445031.0,4479611.0
2450,CS15804,Centro Polivalente,CS15804,CS15804,,,CS15804,CS15804,CS15804,,,CS15804,,CS15804,,,CS15804,CS15804,,,,,,,Calle José María Pérez Peridis 2 28902 Getafe,Calle,José María Pérez Peridis,2,28902.0,Getafe,437944.0,4462853.0
2451,CS15807,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15807,,,,,,,,,,,,,,Calle Isaac Albéniz 18 28220 Majadahonda,Calle,Isaac Albéniz,18,28220.0,Majadahonda,426286.0,4477692.0
2452,CS15810,Centro Polivalente,,,,CS15810,,,CS15810,,,,,,,,,,,,,,,,Calle de Diego de León 39 28006 Madrid,Calle,de Diego de León,39,28006.0,Madrid,442329.0,4476258.0
2453,CS15811,Otros centros especializados,,,,CS15811,,,,,,,,,,,,,,,,,,,Calle de la Basílica 20 28020 Madrid,Calle,de la Basílica,20,28020.0,Madrid,440859.0,4477926.0
2454,CS15812,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS15812,,,,,,,,,,,,,,Calle de Minerva 133 28032 Madrid,Calle,de Minerva,133,28032.0,Madrid,448504.0,4471786.0
2455,CS15813,Centro Polivalente,,,,,,,,,CS15813,,,,,,,,,,,,,,Calle Fernando III 10 28670 Villaviciosa de Odón,Calle,Fernando III,10,28670.0,Villaviciosa de Odón,422564.0,4467757.0
2456,CS15816,Centro Polivalente,CS15816,,,,CS15816,,CS15816,,,CS15816,,,,,CS15816,CS15816,,,,,,CS15816,Calle de la Azalea 1.0 28109 Alcobendas,Calle,de la Azalea,1.0,28109.0,Alcobendas,444883.0,4485501.0
2457,CS15817,Consulta de otros profesionales sanitarios,,,,,,,,,CS15817,,,,,,,,,,,,,,Paseo de la Concordia 7 28850 Torrejón de Ardoz,Paseo,de la Concordia,7,28850.0,Torrejón de Ardoz,462979.0,4479257.0
2458,CS15818,Centro Polivalente,,,,,,,CS15818,,,CS15818,,,,,,,,,,,,,Calle de Raimundo Fernández Villaverde 51 28003 Madrid,Calle,de Raimundo Fernández Villaverde,51,28003.0,Madrid,440958.0,4477569.0
2459,CS15822,Centro Polivalente,,,,,,,CS15822,,,CS15822,,,,,,,,,,,,,Calle de Goya 99 28009 Madrid,Calle,de Goya,99,28009.0,Madrid,442842.0,4475134.0
2460,CS15824,Centro Polivalente,,,,,,,CS15824,,CS15824,,,,,,,,,,,,,,Calle Juan de Mairena s/n - Local 7 28909 Getafe,Calle,Juan de Mairena,s/n - Local 7,28909.0,Getafe,444129.0,4463859.0
2461,CS15826,Centro de salud,,,,,,,CS15826,,,CS15826,,,,,,CS15826,,,,,,CS15826,Calle de Bravo Murillo 317 28020 Madrid,Calle,de Bravo Murillo,317,28020.0,Madrid,440930.0,4479429.0
2462,CS15827,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS15827,,,,,,,,,,,,,,,,Calle de la Amistad 1 28100 Alcobendas,Calle,de la Amistad,1,28100.0,Alcobendas,444326.0,4489677.0
2463,CS15829,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15829,,,,,,,,,,,,,,,,Calle de Alcalá 589 28022 Madrid,Calle,de Alcalá,589,28022.0,Madrid,447937.0,4477442.0
2464,CS15832,Consulta de otros profesionales sanitarios,,,,,,,,,CS15832,,,,,,,,,,,,,,Paseo de José Giral 3 28905 Getafe,Paseo,de José Giral,3,28905.0,Getafe,436431.0,4460009.0
2465,CS15833,Centro Polivalente,,,,CS15833,,,,,CS15833,CS15833,,,,,,,,,,,,,Calle de los Condes del Val 18 28036 Madrid,Calle,de los Condes del Val,18,28036.0,Madrid,442079.0,4478696.0
2466,CS15834,Consulta de otros profesionales sanitarios,,,,,,,,,CS15834,,,,,,,,,,,,,,"Calle Comunidad Castilla-La Mancha 3 28231 Rozas de Madrid, Las",Calle,Comunidad Castilla-La Mancha,3,28231.0,"Rozas de Madrid, Las",425673.0,4482436.0
2467,CS15835,Consulta de otros profesionales sanitarios,,,,,,,,,CS15835,,,,,,,,,,,,,,Calle de Isabel Colbrand 10 28050 Madrid,Calle,de Isabel Colbrand,10,28050.0,Madrid,442996.0,4484862.0
2468,CS15836,Otros centros especializados,,,,,,,,,CS15836,,,,,,,,,,,,,,Calle de Modesto Lafuente 45 28003 Madrid,Calle,de Modesto Lafuente,45,28003.0,Madrid,440974.0,4477170.0
2469,CS15839,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15839,CS15839,,,,,,,,,,,,,Paseo de las Delicias 65 28045 Madrid,Paseo,de las Delicias,65,28045.0,Madrid,441183.0,4472219.0
2470,CS15840,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15840,,,,,,,,,CS15840,,,,Calle del Doctor Casteló 49 28009 Madrid,Calle,del Doctor Casteló,49,28009.0,Madrid,443061.0,4474621.0
2471,CS15841,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15841,CS15841,,,,,,,,,CS15841,,,,Avda de Madrid 2 28822 Coslada,Avda,de Madrid,2,28822.0,Coslada,453980.0,4474839.0
2472,CS15842,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15842,,,,,,,,,CS15842,,,,Calle de Jacinto Verdaguer 22-24 28019 Madrid,Calle,de Jacinto Verdaguer,22-24,28019.0,Madrid,439152.0,4471939.0
2473,CS15843,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS15843,,,,,,,,,,,,,Avda de Rafael Alberti 37 28018 Madrid,Avda,de Rafael Alberti,37,28018.0,Madrid,445525.0,4470711.0
2474,CS15844,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15844,CS15844,,,,,,,,,CS15844,,,,Avda de Alcorcón 3 28936 Móstoles,Avda,de Alcorcón,3,28936.0,Móstoles,427546.0,4464714.0
2475,CS15845,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15845,CS15845,,,,,,,,,CS15845,,,,Calle de Melquíades Biencinto 15 28053 Madrid,Calle,de Melquíades Biencinto,15,28053.0,Madrid,443131.0,4471938.0
2476,CS15846,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15846,CS15846,,,,,,,,,CS15846,,,,Calle de Maudes 26 28003 Madrid,Calle,de Maudes,26,28003.0,Madrid,440620.0,4477400.0
2477,CS15847,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15847,CS15847,,,,,,,,,CS15847,,,,Calle de Agustín Calvo 4 28043 Madrid,Calle,de Agustín Calvo,4,28043.0,Madrid,444782.0,4479425.0
2478,CS15848,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15848,CS15848,,,,,,,,,CS15848,,,,Calle de Mercedes Arteaga 18 28019 Madrid,Calle,de Mercedes Arteaga,18,28019.0,Madrid,438755.0,4471705.0
2479,CS15849,Otros centros especializados,,,,CS15849,,,,,,,,,,,,,,,,,,,Paseo del Pintor Rosales 76 28008 Madrid,Paseo,del Pintor Rosales,76,28008.0,Madrid,438583.0,4475929.0
2480,CS15851,Otros centros especializados,,,,,,,,,CS15851,,,,,,,,,,,,,,Calle de Bolivia 5 28016 Madrid,Calle,de Bolivia,5,28016.0,Madrid,442482.0,4478654.0
2481,CS15852,Consulta de otros profesionales sanitarios,,,,,,,,,CS15852,,,,,,,,,,,,,,Avda del Mediterráneo 16 - Local 1 28007 Madrid,Avda,del Mediterráneo,16 - Local 1,28007.0,Madrid,442664.0,4473136.0
2482,CS15853,Otros centros especializados,,,,,,,,,,,,,,,,,,CS15853,,,,,Calle del Alto de la Camorcha 2 28770 Colmenar Viejo,Calle,del Alto de la Camorcha,2,28770.0,Colmenar Viejo,434903.0,4503212.0
2483,CS15854,Consulta de otros profesionales sanitarios,,,,,,,,,CS15854,,,,,,,,,,,,,,"Calle de Juliana 6 BLOQUE 1 28280 Escorial, El",Calle,de Juliana,6 BLOQUE 1,28280.0,"Escorial, El",404103.0,4493551.0
2484,CS15855,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15855,,,,,,,,,,,,,,Calle Caídos de la División Azul 1 28016 Madrid,Calle,Caídos de la División Azul,1,28016.0,Madrid,442665.0,4479908.0
2485,CS15856,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15856,,CS15856,CS15856,,,,,,,,,,,,,Calle de la Isla Graciosa 6-8 28034 Madrid,Calle,de la Isla Graciosa,6-8,28034.0,Madrid,441922.0,4482699.0
2486,CS15857,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15857,,CS15857,CS15857,,,,,,,,,,,,,Calle de Leñeros 25 28039 Madrid,Calle,de Leñeros,25,28039.0,Madrid,439854.0,4478393.0
2487,CS15858,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15858,,CS15858,CS15858,,,,,,,,,,,,,Calle Álamo 2 - Urb. Los Robles  28250 Torrelodones,Calle,Álamo,2 - Urb. Los Robles,28250.0,Torrelodones,422026.0,4493212.0
2488,CS15859,Otros proveedores de asistencia sanitaria sin internamiento,,,,,CS15859,,CS15859,,,,,,,,,,,CS15859,,,,,Calle Mieses 3 28220 Majadahonda,Calle,Mieses,3,28220.0,Majadahonda,426024.0,4480685.0
2489,CS15860,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS15860,,,,,,,,,,,,,,Calle de Carrión de los Condes 73 28033 Madrid,Calle,de Carrión de los Condes,73,28033.0,Madrid,444216.0,4480811.0
2490,CS15867,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15867,,CS15867,CS15867,,,,,,,,,,,,,Calle de Totana 10 28033 Madrid,Calle,de Totana,10,28033.0,Madrid,444575.0,4480422.0
2491,CS15869,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS15869,,CS15869,CS15869,,,,,,,,,,,,,Calle del Jazmín 46 28033 Madrid,Calle,del Jazmín,46,28033.0,Madrid,443522.0,4481153.0
2492,CS15870,Consulta de otros profesionales sanitarios,,,,,,,,,CS15870,,,,,,,,,,,,,,Calle de Pobla de Segur 2 28033 Madrid,Calle,de Pobla de Segur,2,28033.0,Madrid,444524.0,4479918.0
2493,CS15872,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS15872,,,,,,,,,,,,,,Calle de los Mártires 9 28660 Boadilla del Monte,Calle,de los Mártires,9,28660.0,Boadilla del Monte,425641.0,4473326.0
