Column,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
445,CS10437,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de la Arquitectura 26 28005 Madrid,Calle,de la Arquitectura,26,28005,Madrid,440428,"4472259"
446,CS10440,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Alcorisa 53 28043 Madrid,Calle,de Alcorisa,53,28043,Madrid,445806,"4479341"
447,CS10443,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Isabel de Farnesio 2 28660 Boadilla del Monte,Calle,de Isabel de Farnesio,2,28660,Boadilla del Monte,424753,"4473411"
448,CS10445,Otros centros especializados,,,,,,,,,,,,,,,,,psicologiaclinica,psiquiatria,,,,Calle de Albadalejo 4 28037 Madrid,Calle,de Albadalejo,4,28037,Madrid,447571,"4476692"
449,CS10446,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de la Virgen de la Monjía 1 28027 Madrid,Calle,de la Virgen de la Monjía,1,28027,Madrid,444725,"4476461"
450,CS10452,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Cañaveral 27 28029 Madrid,Calle,del Cañaveral,27,28029,Madrid,441134,"4479870"
451,CS10455,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Valdeamor 44 28110 Algete,Calle,de Valdeamor,44,28110,Algete,457532,"4494308"
452,CS10456,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle de la Infanta María Teresa 14 28016 Madrid,Calle,de la Infanta María Teresa,14,28016,Madrid,442302,"4478367"
453,CS10457,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Ferraz 15 28008 Madrid,Calle,de Ferraz,15,28008,Madrid,439090,"4475368"
454,CS10464,Consulta de otros profesionales sanitarios,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Calle de Bretón de los Herreros 43 28003 Madrid,Calle,de Bretón de los Herreros,43,28003,Madrid,440913,"4476782"
455,CS10469,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda Coruña 10 28702 San Sebastián de los Reyes,Avda,Coruña,10,28702,San Sebastián de los Reyes,446857,"4490385"
456,CS10474,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Antonio López 24 28019 Madrid,Calle,de Antonio López,24,28019,Madrid,439461,"4472003"
458,CS10479,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,vacunacion,Plaza de la Constitución 5 28818 Santorcaz,Plaza,de la Constitución,5,28818,Santorcaz,480227,"4480230"
459,CS10480,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Plaza del Nuncio 7 28921 Alcorcón,Plaza,del Nuncio,7,28921,Alcorcón,429626,"4466646"
460,CS10483,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda Gregorio Ordóñez 23 28990 Torrejón de Velasco,Avda,Gregorio Ordóñez,23,28990,Torrejón de Velasco,434200,"4448777"
461,CS10485,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Conde Rodríguez San Pedro 32 28053 Madrid,Calle,del Conde Rodríguez San Pedro,32,28053,Madrid,442904,"4470696"
462,CS10486,Consulta médica,,,,,,,,,,,,,,,,,,psiquiatria,,,,Calle de Don Ramón de la Cruz 6 28001 Madrid,Calle,de Don Ramón de la Cruz,6,28001,Madrid,441782,"4475617"
463,CS10489,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,psicologiaclinica,,,,,Calle de Cádiz 28 28320 Pinto,Calle,de Cádiz,28,28320,Pinto,440850,"4455049"
464,CS10490,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda Pablo VI 3 28224 Pozuelo de Alarcón,Avda,Pablo VI,3,28224,Pozuelo de Alarcón,431435,"4476324"
465,CS10498,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de la Libertad 6 28004 Madrid,Calle,de la Libertad,6,28004,Madrid,440841,"4474666"
466,CS10502,Centro Polivalente,,,,,,,,,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,,,,Calle de Henri Dunant 23 28036 Madrid,Calle,de Henri Dunant,23,28036,Madrid,441952,"4479047"
467,CS10503,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle los Lirios 1 28925 Alcorcón,Calle,los Lirios,1,28925,Alcorcón,431389,"4467631"
468,CS10504,Otros centros especializados,,,,,,,,,fisioterapia,,,,,,,,,,rehabilitacion,,,Calle Francisco Ayala 10 28702 San Sebastián de los Reyes,Calle,Francisco Ayala,10,28702,San Sebastián de los Reyes,448131,"4490431"
469,CS10508,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle Barcelona 6 28937 Móstoles,Calle,Barcelona,6,28937,Móstoles,427026,"4464100"
470,CS10511,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de Orense 6 28702 San Sebastián de los Reyes,Avda,de Orense,6,28702,San Sebastián de los Reyes,446840,"4490160"
471,CS10512,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Valladolid 21 28938 Móstoles,Calle,Valladolid,21,28938,Móstoles,426861,"4463615"
472,CS10514,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Joaquín Blume 3 28935 Móstoles,Calle,de Joaquín Blume,3,28935,Móstoles,424757,"4464398"
473,CS10516,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Jacinto González 23 28600 Navalcarnero,Calle,de Jacinto González,23,28600,Navalcarnero,413682,"4460102"
474,CS10518,Centro Polivalente,alergologia,cardiologia,,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,,fisioterapia,medicinageneral,neumologia,neurologia,,,otorrinolaringologia,pediatria,,,rehabilitacion,,vacunacion,Bulev de Salvador Allende 2 28108 Alcobendas,Bulev,de Salvador Allende,2,28108,Alcobendas,446119,"4487535"
475,CS10523,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle de Modesto Lafuente 12 28010 Madrid,Calle,de Modesto Lafuente,12,28010,Madrid,440945,"4476443"
476,CS10524,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Aravaca 12 28040 Madrid,Calle,de Aravaca,12,28040,Madrid,439589,"4477737"
477,CS10525,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Lima 32 28945 Fuenlabrada,Calle,de Lima,32,28945,Fuenlabrada,432881,"4460150"
478,CS10527,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Ibiza 1 28009 Madrid,Calle,de Ibiza,1,28009,Madrid,442434,"4474434"
479,CS10535,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Avda Constitución 24 28850 Torrejón de Ardoz,Avda,Constitución,24,28850,Torrejón de Ardoz,459064,"4478397"
480,CS10538,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle Antonio Muñoz Molina 1 28521 Rivas-Vaciamadrid,Calle,Antonio Muñoz Molina,1,28521,Rivas-Vaciamadrid,455685,"4466330"
482,CS10542,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle A 6 28514 Nuevo Baztán,Calle,A,6,28514,Nuevo Baztán,479302,"4468226"
483,CS10543,Otros centros especializados,,,,cirugiamenorambulatoria,,,,,,,,,,,,,,,,,,Calle de Hermosilla 34 28001 Madrid,Calle,de Hermosilla,34,28001,Madrid,442023,"4475289"
485,CS10547,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Avda del Campo de Calatrava 17 28034 Madrid,Avda,del Campo de Calatrava,17,28034,Madrid,441435,"4483612"
487,CS10550,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de la Aeronave 12 28042 Madrid,Calle,de la Aeronave,12,28042,Madrid,450304,"4480096"
488,CS10561,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Jorge Juan 124 28028 Madrid,Calle,de Jorge Juan,124,28028,Madrid,443536,"4474889"
489,CS10562,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Puerto de Maspalomas 15 28029 Madrid,Calle,del Puerto de Maspalomas,15,28029,Madrid,439466,"4481101"
490,CS10564,Centro Polivalente,,,,,,,,,fisioterapia,,,,,,,pediatria,,,,,,"Calle Chiapas 4 28231 Rozas de Madrid, Las",Calle,Chiapas,4,28231,"Rozas de Madrid, Las",426414,"4481692"
491,CS10565,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de la Rejilla 9 28931 Móstoles,Calle,de la Rejilla,9,28931,Móstoles,426587,"4464168"
492,CS10567,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Medinaceli 1 28660 Boadilla del Monte,Calle,de Medinaceli,1,28660,Boadilla del Monte,425371,"4473013"
493,CS10568,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Montearagón 5 28033 Madrid,Calle,de Montearagón,5,28033,Madrid,444175,"4479439"
494,CS10570,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Alfonso Gómez 29 28037 Madrid,Calle,de Alfonso Gómez,29,28037,Madrid,446760,"4476564"
495,CS10574,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Monte Esquinza 8 28010 Madrid,Calle,del Monte Esquinza,8,28010,Madrid,441292,"4475393"
496,CS10577,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Doctor Calero 19 28220 Majadahonda,Calle,Doctor Calero,19,28220,Majadahonda,426112,"4480764"
497,CS10578,Otros centros especializados,,,,,,,,,fisioterapia,,,,,,,,,,rehabilitacion,,,Calle de Costa Rica 2 28016 Madrid,Calle,de Costa Rica,2,28016,Madrid,442551,"4478864"
498,CS10580,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle Real 13 28791 Soto del Real,Calle,Real,13,28791,Soto del Real,433630,"4511714"
500,CS10588,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Ríos Rosas 44 28003 Madrid,Calle,de Ríos Rosas,44,28003,Madrid,440904,"4477007"
502,CS10590,Centro Polivalente,,,,,,,,,fisioterapia,,,,,,,,psicologiaclinica,,rehabilitacion,,,Calle de San Germán 8 28020 Madrid,Calle,de San Germán,8,28020,Madrid,441335,"4478648"
503,CS10591,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle Dublín 1 28850 Torrejón de Ardoz,Calle,Dublín,1,28850,Torrejón de Ardoz,460220,"4479172"
504,CS10592,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Bailén 2 28912 Leganés,Calle,Bailén,2,28912,Leganés,435022,"4464747"
505,CS10593,Centro Polivalente,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,,Calle del Canchal 34 28021 Madrid,Calle,del Canchal,34,28021,Madrid,442460,"4466460"
506,CS10599,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Avda del General Perón 19 28020 Madrid,Avda,del General Perón,19,28020,Madrid,440991,"4478277"
507,CS10606,Otros centros especializados,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle de Nereida 4 28045 Madrid,Calle,de Nereida,4,28045,Madrid,442264,"4471459"
508,CS10610,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle la Venta 4 28400 Collado Villalba,Calle,la Venta,4,28400,Collado Villalba,414839,"4498176"
509,CS10615,Centro de reproducción humana asistida,,,,cirugiamenorambulatoria,dermatologia,,enfermeria,,,,,,,,,,,,,,,Calle de las Tablas de Daimiel 8 28924 Alcorcón,Calle,de las Tablas de Daimiel,8,28924,Alcorcón,431506,"4466588"
510,CS10616,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Bocángel 19 28028 Madrid,Calle,de Bocángel,19,28028,Madrid,443783,"4475515"
511,CS10619,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle CARTAGENA 160 28002 Madrid,Calle,CARTAGENA,160,28002,Madrid,442640,"4477192"
512,CS10623,Otros proveedores de asistencia sanitaria sin internamiento,,,,,dermatologia,,enfermeria,,,,,,,,,,,,,,,Calle del Cinca 30 28002 Madrid,Calle,del Cinca,30,28002,Madrid,442341,"4477838"
513,CS10624,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Ayala 76 28001 Madrid,Calle,de Ayala,76,28001,Madrid,442412,"4475413"
514,CS10625,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle BADALONA 94 28034 Madrid,Calle,BADALONA,94,28034,Madrid,441161,"4482831"
515,CS10629,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Griñón 7 28939 Arroyomolinos,Calle,de Griñón,7,28939,Arroyomolinos,421805,"4458017"
516,CS10631,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de Montecarmelo 21 28049 Madrid,Avda,de Montecarmelo,21,28049,Madrid,440820,"4483792"
517,CS10633,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,"Calle Buenaventura Madrigal 2 28280 Escorial, El",Calle,Buenaventura Madrigal,2,28280,"Escorial, El",404329,"4494801"
518,CS10638,Centro Polivalente,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Carlos Picabea 4 28250 Torrelodones,Calle,Carlos Picabea,4,28250,Torrelodones,421281,"4492173"
519,CS10641,Consulta médica,,,,cirugiamenorambulatoria,dermatologia,,,,,,,,,,,,,,,,,Calle de Alberto Aguilera 32 28015 Madrid,Calle,de Alberto Aguilera,32,28015,Madrid,439684,"4475759"
520,CS10646,Centro Polivalente,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de Madrid 18 28750 San Agustín del Guadalix,Avda,de Madrid,18,28750,San Agustín del Guadalix,448172,"4503345"
521,CS10647,Otros centros especializados,,,,,,,,,,medicinageneral,,,,,,,psicologiaclinica,,,,,Ctra de Hoyo de Manzanares 20 28770 Colmenar Viejo,Ctra,de Hoyo de Manzanares,20,28770,Colmenar Viejo,434703,"4501028"
522,CS10651,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Paseo Valdelasfuentes 6 28100 Alcobendas,Paseo,Valdelasfuentes,6,28100,Alcobendas,444707,"4488912"
523,CS10656,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle de Meléndez Valdés 59 28015 Madrid,Calle,de Meléndez Valdés,59,28015,Madrid,439288,"4476062"
524,CS10660,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Madrid 71 28901 Getafe,Calle,Madrid,71,28901,Getafe,438031,"4462291"
525,CS10661,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Timanfaya 30 28924 Alcorcón,Calle,de Timanfaya,30,28924,Alcorcón,431247,"4466724"
526,CS10668,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle María Moliner 9 28523 Rivas-Vaciamadrid,Calle,María Moliner,9,28523,Rivas-Vaciamadrid,453968,"4469829"
527,CS10669,Centro Polivalente,,cardiologia,,,dermatologia,,enfermeria,,fisioterapia,medicinageneral,,neurologia,,,,,psicologiaclinica,psiquiatria,rehabilitacion,,,Calle de La Salle 8 28023 Madrid,Calle,de La Salle,8,28023,Madrid,433797,"4479801"
528,CS10670,Centro Polivalente,,,,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,,,,,,,Paseo de la Habana 1 28036 Madrid,Paseo,de la Habana,1,28036,Madrid,441482,"4477728"
529,CS10677,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Fray Luis de León 14 28012 Madrid,Calle,de Fray Luis de León,14,28012,Madrid,440750,"4472762"
530,CS10678,Centro Polivalente,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle Real 38 28860 Paracuellos de Jarama,Calle,Real,38,28860,Paracuellos de Jarama,455096,"4483901"
531,CS10679,Consulta de otros profesionales sanitarios,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle del Foso 75 28300 Aranjuez,Calle,del Foso,75,28300,Aranjuez,448940,"4431197"
532,CS10682,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,psicologiaclinica,,,,,Calle de Castilla la Nueva 21 28941 Fuenlabrada,Calle,de Castilla la Nueva,21,28941,Fuenlabrada,432190,"4460633"
533,CS10686,Otros centros especializados,,,,,,,,,,medicinageneral,,neurologia,,,,,,psiquiatria,,,,Avda del Cardenal Herrera Oria 383 28035 Madrid,Avda,del Cardenal Herrera Oria,383,28035,Madrid,437619,"4480965"
534,CS10687,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Finisterre 26 28029 Madrid,Calle,de Finisterre,26,28029,Madrid,440508,"4481136"
535,CS10695,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Extremadura 11 28939 Arroyomolinos,Calle,de Extremadura,11,28939,Arroyomolinos,421538,"4458431"
536,CS10698,Otros proveedores de asistencia sanitaria sin internamiento,,,,,dermatologia,,,,fisioterapia,medicinageneral,,neurologia,,,,,,,,,,Calle Florida 26 28670 Villaviciosa de Odón,Calle,Florida,26,28670,Villaviciosa de Odón,423479,"4466720"
537,CS10701,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Arregui y Aruej 15 28007 Madrid,Calle,de Arregui y Aruej,15,28007,Madrid,443245,"4472397"
539,CS10704,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Plaza de las Artes 4 28942 Fuenlabrada,Plaza,de las Artes,4,28942,Fuenlabrada,428838,"4461177"
540,CS10710,Centro Polivalente,,,,,,,,,,medicinageneral,,,,,,,,,,,,Avda de los Pirineos 7 28703 San Sebastián de los Reyes,Avda,de los Pirineos,7,28703,San Sebastián de los Reyes,448305,"4488907"
541,CS10721,Otros centros especializados,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Santa Cruz de Marcenado 15 28015 Madrid,Calle,de Santa Cruz de Marcenado,15,28015,Madrid,439855,"4475579"
542,CS10722,Otros proveedores de asistencia sanitaria sin internamiento,,,,cirugiamenorambulatoria,,,,,,medicinageneral,,,,,,,,,,,,Calle del Conde de Aranda 14 28001 Madrid,Calle,del Conde de Aranda,14,28001,Madrid,441756,"4474785"
543,CS10730,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Segovia 1 28490 Becerril de la Sierra,Calle,de Segovia,1,28490,Becerril de la Sierra,416496,"4507714"
544,CS10733,Centro Polivalente,,,,,,,,,fisioterapia,,,,,,,,,psiquiatria,,,,Calle Platino 2 28850 Torrejón de Ardoz,Calle,Platino,2,28850,Torrejón de Ardoz,460634,"4477890"
545,CS10737,Centro Polivalente,alergologia,cardiologia,,,dermatologia,,,,fisioterapia,medicinageneral,,neurologia,,,,,,,,,,Calle del General Ampudia 4 28003 Madrid,Calle,del General Ampudia,4,28003,Madrid,439399,"4477072"
546,CS10738,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Fermín Caballero 64 28034 Madrid,Calle,de Fermín Caballero,64,28034,Madrid,439840,"4481612"
547,CS10739,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,pediatria,,,,,,Calle de El Algabeño 67 28043 Madrid,Calle,de El Algabeño,67,28043,Madrid,446531,"4478988"
548,CS10743,Otros centros especializados,,,,,,,,,,,,,,,,,,psiquiatria,,,,Calle de Rafael Calvo 40 28010 Madrid,Calle,de Rafael Calvo,40,28010,Madrid,441411,"4476155"
549,CS10744,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Serracines 2 28806 Alcalá de Henares,Calle,Serracines,2,28806,Alcalá de Henares,469107,"4482394"
550,CS10746,Centro Polivalente,alergologia,cardiologia,,,dermatologia,endocrinologia,enfermeria,,fisioterapia,medicinageneral,neumologia,neurologia,,,otorrinolaringologia,pediatria,,psiquiatria,,,,Calle Honduras 6 28822 Coslada,Calle,Honduras,6,28822,Coslada,453678,"4475000"
551,CS10747,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Rafael Finat 7 28044 Madrid,Calle,de Rafael Finat,7,28044,Madrid,435092,"4470614"
552,CS10748,Consulta médica,,,,,,,,,,,,,,,,pediatria,,,,,,Plaza Salvador 4 28911 Leganés,Plaza,Salvador,4,28911,Leganés,435020,"4464379"
553,CS10751,Consulta médica,,,,,,,,,,,,,,,,pediatria,,,,,,Calle de Leganés 6 28945 Fuenlabrada,Calle,de Leganés,6,28945,Fuenlabrada,432511,"4459638"
554,CS10756,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Castelló 24.0 28001 Madrid,Calle,de Castelló,24,28001,Madrid,442195,"4475091"
555,CS10757,Centro Polivalente,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle Madrid 41 28150 Valdetorres de Jarama,Calle,Madrid,41,28150,Valdetorres de Jarama,456646,"4505079"
556,CS10759,Consulta médica,,,,,,,,,,,,,,,,pediatria,,,,,,Calle de José Lombana Iglesias 22 28023 Madrid,Calle,de José Lombana Iglesias,22,28023,Madrid,429847,"4480501"
557,CS10762,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle del Molino de Viento 14 28770 Colmenar Viejo,Calle,del Molino de Viento,14,28770,Colmenar Viejo,434677,"4501913"
558,CS10763,Otros centros especializados,,,,,,,,,fisioterapia,,,,,,,,,,rehabilitacion,,,Paseo de la Castellana 177 28046 Madrid,Paseo,de la Castellana,177,28046,Madrid,441484,"4479341"
559,CS1077,Otros centros especializados,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Vallehermoso 26 28015 Madrid,Calle,de Vallehermoso,26,28015,Madrid,439895,"4476009"
560,CS10774,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Guzmán el Bueno 62 28015 Madrid,Calle,de Guzmán el Bueno,62,28015,Madrid,439540,"4476519"
561,CS10781,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle Olímpico Francisco Fernández Ochoa 24 28923 Alcorcón,Calle,Olímpico Francisco Fernández Ochoa,24,28923,Alcorcón,431045,"4466307"
562,CS10788,Consulta médica,,,,,,,,,,,,,,,,pediatria,,,,,,Calle Pinos 7 28221 Majadahonda,Calle,Pinos,7,28221,Majadahonda,427187,"4480610"
563,CS10790,Consulta de otros profesionales sanitarios,,,,,,,,,,medicinageneral,,,,,,,,,,,,Avda de la Victoria 73 28023 Madrid,Avda,de la Victoria,73,28023,Madrid,429325,"4480672"
565,CS10798,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,psicologiaclinica,,,,,Paseo de la Castellana 170 28046 Madrid,Paseo,de la Castellana,170,28046,Madrid,441564,"4479027"
567,CS10809,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de la Cruz del Sur 13 28007 Madrid,Calle,de la Cruz del Sur,13,28007,Madrid,443300,"4473496"
568,CS10812,Otros centros especializados,,,,,,,,,,,,,,,,,,psiquiatria,,,,Calle Tarragona 5 28804 Alcalá de Henares,Calle,Tarragona,5,28804,Alcalá de Henares,471275,"4481895"
569,CS10814,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Avda de San Diego 111 28018 Madrid,Avda,de San Diego,111,28018,Madrid,443635,"4470448"
570,CS10818,Centro Polivalente,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Antonio Machado 43 28035 Madrid,Calle,de Antonio Machado,43,28035,Madrid,438919,"4479813"
571,CS10820,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle del General Lacy 12 28045 Madrid,Calle,del General Lacy,12,28045,Madrid,441375,"4472845"
572,CS10823,Otros centros especializados,,,,,,,,,,,,,,,,,psicologiaclinica,psiquiatria,,,,Avda de la Reina Victoria 8 28003 Madrid,Avda,de la Reina Victoria,8,28003,Madrid,440197,"4477629"
573,CS10826,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Antonio Machado 31 28035 Madrid,Calle,de Antonio Machado,31,28035,Madrid,438999,"4479724"
574,CS10829,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Juan Carlos I 7 28971 Griñón,Calle,Juan Carlos I,7,28971,Griñón,427511,"4451901"
575,CS10834,Centro Polivalente,,,,,dermatologia,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,,Calle del Padrón 6 28925 Alcorcón,Calle,del Padrón,6,28925,Alcorcón,431225,"4467488"
576,CS10835,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Plaza de San Miguel 4 28005 Madrid,Plaza,de San Miguel,4,28005,Madrid,439880,"4474088"
577,CS10841,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle de María Auxiliadora 3 28040 Madrid,Calle,de María Auxiliadora,3,28040,Madrid,439477,"4478795"
578,CS10845,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Ctra Daganzo 6 28864 Ajalvir,Ctra,Daganzo,6,28864,Ajalvir,459326,"4486844"
579,CS10846,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle del Doctor Fleming 47 28036 Madrid,Calle,del Doctor Fleming,47,28036,Madrid,441669,"4479362"
